word,count
love's,52
grand,52
pot,52
generation,52
complain,52
important,52
calm,52
secrets,52
liar,52
common,52
hes,52
thug,52
worlds,52
lemme,52
dawg,52
although,52
pistol,52
heels,52
growing,51
dreamed,51
robin,51
breeze,51
brave,51
wedding,51
survivor,51
dna,51
hatin,51
difference,51
joke,51
relax,51
onto,51
hall,51
stones,51
georgia,51
protect,51
dre,51
fortune,51
balls,51
blinded,51
cook,50
stomach,50
spending,50
puff,50
dies,50
main,50
afternoon,50
miracle,50
pimpin,50
attack,50
gaga,50
chrome,50
gray,50
knockin,50
floatin,50
flight,50
blast,50
rob,50
vain,50
chicken,50
tup,50
smiling,50
release,50
jungle,50
row,50
goddamn,50
wack,50
freaks,49
recognize,49
dive,49
superman,49
selling,49
certain,49
shirt,49
clappers,49
belly,49
level,49
passing,49
range,49
mile,49
esrever,49
flies,49
drivin,49
flirt,49
ugly,49
pair,49
bill,49
wore,49
precious,49
gift,49
sin,49
tom,49
letting,49
broads,49
eyelids,49
watched,49
oops,49
pilf,48
7,48
soldiers,48
disappear,48
field,48
ceiling,48
rude,48
pie,48
thinks,48
dutch,48
ticket,48
crossed,48
riches,48
cheap,48
path,48
gs,48
hamilton,48
lane,48
forgotten,48
weave,48
sunny,48
santa,48
signed,48
thirty,48
surprise,48
veins,48
rub,48
patek,48
standin,48
torn,48
gniht,48
opened,48
disco,48
plug,48
nwod,48
james,48
oh-oh,47
shoe,47
lovely,47
parents,47
popping,47
somebody's,47
iron,47
burnin,47
able,47
te,47
controversy,47
souls,47
leavin,47
askin,47
shits,47
search,47
service,47
echo,47
afford,47
ella,47
ringing,47
amazin,47
law,47
lyrical,46
sail,46
papa,46
l,46
phantom,46
atlanta,46
avenue,46
thangs,46
seemed,46
ecstasy,46
other's,46
twisted,46
pool,46
shines,46
roses,46
hittin,46
merry,46
shades,46
boyfriend,46
cum,46
sparrow,46
holes,46
mansion,46
hah,46
false,46
happening,46
card,46
guest,46
shadows,46
tells,46
horses,46
ooo,45
cousin,45
mcs,45
person,45
confess,45
alarm,45
outrageous,45
staying,45
grows,45
parties,45
cadillac,45
bold,45
sings,45
mission,45
months,45
wanting,45
dancer,45
sober,45
post,45
rep,45
reality,45
stayed,45
rocked,45
where's,45
art,44
circle,44
choice,44
thy,44
ding,44
mood,44
indeed,44
trigger,44
deeper,44
jumpman,44
flames,44
twist,44
puttin,44
fading,44
jet,44
further,44
naughty,44
j,44
waves,44
legacy,44
especially,44
simmer,44
shadow,44
march,44
jewelry,43
delirious,43
motion,43
grateful,43
magazine,43
yard,43
cast,43
amen,43
biggest,43
mercedes,43
pound,43
palm,43
treasure,43
plays,43
twelve,43
sigh,43
guaranteed,43
moonlight,43
a-yo,43
niggaz,43
eatin,43
hiding,43
grip,43
lame,43
eggs,43
bentley,43
usually,43
bother,43
note,43
temptation,43
third,43
unbelievable,43
flag,43
hater,43
messing,43
mothers,43
hero,43
putting,43
trapped,43
direction,43
shade,43
goodnight,43
cindy,43
ya'll,43
ayo,43
among,42
something's,42
pillow,42
mix,42
chasing,42
situation,42
month,42
dudes,42
jordan,42
revolution,42
zero,42
dom,42
candles,42
seats,42
became,42
one's,42
stops,42
naw,42
doe,42
farewell,42
nails,42
talked,42
smooth,42
uhhuh,42
yep,42
sink,42
seasons,42
credit,42
repent,42
socks,42
jumpin,42
kissing,42
peep,42
stroke,42
flash,42
rowley,42
tripping,41
mafia,41
henry,41
eternity,41
moms,41
kicking,41
records,41
bodies,41
lexus,41
lullaby,41
texas,41
thugs,41
bear,41
mc,41
clips,41
minds,41
ashamed,41
gentlemen,41
trunk,41
max,41
silk,41
glasses,41
sha,41
hurting,41
france,41
public,41
begging,41
thrill,41
wise,41
hopeless,41
shell,41
wipe,41
waving,41
jerk,41
startin,41
rumor,41
aren't,41
explode,41
mac,41
addicted,41
forty,41
wonderful,41
legend,41
smack,41
britney,40
inch,40
grey,40
that'll,40
kicked,40
noon,40
knee,40
messin,40
backwards,40
cow,40
cherry,40
vegas,40
junior,40
v,40
toe,40
swerve,40
er,40
misery,40
float,40
slam,40
wishin,40
dame,40
timbaland,40
nation,40
pure,40
fears,40
wasted,40
comfort,40
they'd,40
nick,40
grill,40
ourselves,40
join,40
matters,40
everytime,40
affection,40
rent,40
ray,40
traffic,39
thirsty,39
unto,39
boo,39
rights,39
thanks,39
forth,39
flew,39
celebrate,39
rainbow,39
genius,39
hug,39
frame,39
angry,39
k,39
ought,39
tick,39
spanish,39
swag,39
french,39
tho,39
settle,39
season,39
snap,39
belt,39
staring,39
ghosts,39
weeks,39
dreamin,39
brrap,39
slugs,39
kissin,39
mistake,39
crawl,39
gives,39
scratch,39
forest,39
lace,39
mm,39
lyrics,39
lotta,39
heart's,39
waited,39
center,39
youve,39
animals,39
i-i,39
sam,39
tank,39
kills,39
biting,38
hating,38
he'd,38
meat,38
alejandro,38
gyal,38
shop,38
rope,38
innocent,38
vuitton,38
unknown,38
drippin,38
itself,38
load,38
sweetest,38
jamaica,38
broad,38
nut,38
buried,38
mic,38
rappin,38
el,38
leads,38
refuse,38
latest,38
fifth,38
bullets,38
va,38
due,38
flo,38
drum,38
countin,38
impossible,38
presence,38
oxygen,38
fever,38
rebel,38
rocky,38
lower,38
cheek,38
faster,38
gainst,38
lip,38
fox,38
conversation,37
kickin,37
drip,37
mend,37
ugh,37
praise,37
whoever,37
mention,37
remix,37
suit,37
leg,37
molly,37
sins,37
begins,37
underground,37
bees,37
rihanna,37
yell,37
signs,37
aware,37
sons,37
breast,37
charge,37
monday,37
burned,37
dolly,37
ending,37
dip,37
sweeter,37
click,37
applause,37
kelly,37
shelf,37
driver,37
swagger,37
husband,37
bell,37
asshole,37
thin,37
rocking,37
pat,37
restless,37
fans,37
gates,37
orleans,37
shootin,37
risk,37
telephone,37
valerie,37
traveling,36
butterflies,36
strangers,36
butterfly,36
clicks,36
freakin,36
pressin,36
8,36
fallen,36
christ,36
add,36
circus,36
guide,36
coupe,36
shelter,36
reached,36
tail,36
victim,36
confused,36
mrs,36
ooooh,36
captain,36
enjoy,36
dwell,36
desert,36
smoked,36
helped,36
patient,36
winner,36
changing,36
hoping,36
county,36
whoo,36
beep,36
score,36
jacket,36
suddenly,36
kingston,36
dyin,36
complete,36
flashing,36
lo,36
womanizer,35
para,35
carter,35
choke,35
knives,35
orange,35
neighbors,35
serious,35
medicine,35
neither,35
opportunity,35
lots,35
jumped,35
accept,35
sleepin,35
wicked,35
hidden,35
reaching,35
fifteen,35
harm,35
blown,35
pulling,35
silent,35
seconds,35
visit,35
mayne,35
minutes,35
solo,35
competition,35
separate,35
di,35
pardon,35
god's,35
sho,35
seed,35
throne,35
recall,35
experience,35
danced,35
fist,35
swim,35
agree,35
seek,35
badder,35
demons,35
slaves,35
whom,35
lonesome,35
los,35
roads,35
should've,35
also,35
ohhh,35
plastic,35
denial,35
woop,34
thief,34
wing,34
letters,34
universe,34
pushed,34
granted,34
frozen,34
x4,34
baby's,34
plate,34
og,34
represent,34
gather,34
liked,34
sudden,34
paul,34
issues,34
london,34
homey,34
completely,34
hay,34
weren't,34
troubled,34
sheep,34
mother's,34
herself,34
hated,34
dada,34
roam,34
penny,34
works,34
miami,34
pouring,34
critics,34
pump,34
x3,34
tuesday,34
would've,34
president,34
chose,34
10,34
projects,34
chris,34
patience,34
ribbon,34
draw,34
prayers,34
holiday,34
maybach,34
eh-eh,34
pity,34
sue,34
downfall,34
jones,34
representin,34
bullet,34
stories,34
nobody's,34
pines,34
yoy,34
yay,33
softly,33
goose,33
whipped,33
throwin,33
wasting,33
laughed,33
teacher,33
religion,33
bent,33
intro,33
troubles,33
cane,33
energy,33
model,33
laying,33
stash,33
lamborghini,33
definitely,33
divine,33
lake,33
trash,33
tower,33
jeep,33
figures,33
violence,33
pale,33
conquer,33
answers,33
stomp,33
movies,33
poison,33
temple,33
packed,33
groovy,33
paying,33
slick,33
drops,33
hooked,33
winning,33
pill,33
faded,33
daily,33
cigarette,33
written,33
lap,33
strollin,33
dome,33
voodoo,33
maker,33
jimmy,33
piano,33
farm,32
perdiendo,32
begun,32
present,32
purpose,32
surprised,32
shape,32
pimps,32
turnin,32
ignore,32
woe,32
shaking,32
morris,32
christian,32
